,RiskScore,PaymentHistory,LoanAmount,Age,LoanDuration,Experience,EducationLevel,BaseInterestRate,CreditCardUtilizationRate,TotalAssets,InterestRate,LengthOfCreditHistory,NetWorth,PreviousLoanDefaults,CreditScore,DebtToIncomeRatio,TotalDebtToIncomeRatio,AnnualIncome,MonthlyIncome,BankruptcyHistory
RiskScore,1.0,-0.01699158787564319,0.1379806578020344,-0.1643039895878841,0.05455028204317057,-0.16649648754226762,-0.017034490276924247,0.2562325669640606,0.10875836392268474,-0.29711685441878743,0.2682028044399114,-0.17779554624886468,-0.30433343630087173,0.2586587341151746,-0.2401981266201293,0.326500418486302,0.34264348554322704,-0.48328863697214597,-0.4870394850746599,0.37757840401953274
PaymentHistory,-0.01699158787564319,1.0,-0.0028110576067719253,-0.0024874685434639983,0.0019829242310532968,-0.003346453391588414,-0.003967176756856823,-0.002998984969666078,0.004516681718264229,-0.007134529971578842,0.0020299286471767344,0.0010900979247536443,-0.0028529737727146006,0.0020791625243804447,0.004294508698782182,-0.006869427543169332,0.0034199608757484986,0.0037145711415310727,0.003334792536033723,0.007334774268175295
LoanAmount,0.1379806578020344,-0.0028110576067719253,1.0,-0.007492045440253893,-0.0004361812964451346,-0.007921030339923741,0.0013416272827229514,0.38566313861014,0.0008055493388492413,-0.00423758968728459,0.3228237474336499,0.000580337358174352,-0.0036786603769580484,-0.0023521903292126065,-0.010833752733830276,-0.00957709686383536,0.4571751916602651,-0.004116121827265819,-0.005407243517132589,0.004843643990625929
Age,-0.1643039895878841,-0.0024874685434639983,-0.007492045440253893,1.0,-0.006991944181253704,0.9829802792421133,-0.0032671114685818782,-0.23899457024106327,-0.0013944636954603578,0.012209685392806367,-0.20270157154726848,-0.00013941046798564622,0.014060929763094481,-0.003683906875947822,0.3232427968850211,0.004438383038398006,-0.11179960415675803,0.14477359847110555,0.1446338542353076,0.010816745054711509
LoanDuration,0.05455028204317057,0.0019829242310532968,-0.0004361812964451346,-0.006991944181253704,1.0,-0.00792398521382356,-0.003006763178179105,0.5792149916757651,-0.0061603860598021766,-0.00829654882888148,0.4879937759785571,0.013693008597133044,-0.008779260967627758,0.015646326549146303,-0.0007623806006999745,0.0019128385848445853,-0.2139843703335834,0.002971882302743941,0.0030667318350155763,-0.0004342802869760874
Experience,-0.16649648754226762,-0.003346453391588414,-0.007921030339923741,0.9829802792421133,-0.00792398521382356,1.0,-0.004073013866022765,-0.2428711315667396,-0.0017509851370735555,0.013074027515238092,-0.20625165841905943,-0.001131882224060504,0.015048947467139048,-0.002459312501268119,0.3276640984353143,0.003138880718223454,-0.11282465716490317,0.14599946461776062,0.1459495036610223,0.009599857078624154
EducationLevel,-0.017034490276924247,-0.003967176756856823,0.0013416272827229514,-0.0032671114685818782,-0.003006763178179105,-0.004073013866022765,1.0,-0.007037310208374747,0.006932599875842273,0.011508337459371118,-0.002536485890430045,0.003783714187294796,0.011414107940555819,-0.004295937700470425,0.008082958182510744,0.0040301488395487715,0.002635294078503732,0.004814239441907062,0.003943457514861081,0.0018663013975258951
BaseInterestRate,0.2562325669640606,-0.002998984969666078,0.38566313861014,-0.23899457024106327,0.5792149916757651,-0.2428711315667396,-0.007037310208374747,1.0,0.0036679693172432526,-0.007368261001784845,0.8345565713776919,0.004399459582036933,-0.007873728360709728,0.01368903051717413,-0.7226185591437013,-0.0038876168938583645,0.13185316344078882,-0.07454870324777879,-0.0755216464027944,-0.004622705421063613
CreditCardUtilizationRate,0.10875836392268474,0.004516681718264229,0.0008055493388492413,-0.0013944636954603578,-0.0061603860598021766,-0.0017509851370735555,0.006932599875842273,0.0036679693172432526,1.0,-0.005046680317167465,0.001030214365016421,0.007446072378671114,-0.003506366869664516,-0.004449808900287448,-0.009649603688149705,0.0022306227948983006,0.010490273157735834,-0.007934976954901495,-0.009380569602983599,0.010892259143077794
TotalAssets,-0.29711685441878743,-0.007134529971578842,-0.00423758968728459,0.012209685392806367,-0.00829654882888148,0.013074027515238092,0.011508337459371118,-0.007368261001784845,-0.005046680317167465,1.0,-0.005806890729332028,0.004588205901691337,0.9789966954457313,0.006939040350986814,0.0013418596483299346,-0.007661613360679065,-0.007333284949331035,-0.005157752383295693,-0.004127772686894244,-0.0011342759541163592
InterestRate,0.2682028044399114,0.0020299286471767344,0.3228237474336499,-0.20270157154726848,0.4879937759785571,-0.20625165841905943,-0.002536485890430045,0.8345565713776919,0.001030214365016421,-0.005806890729332028,1.0,0.004991345466527339,-0.0064221800385863585,0.008299258911852458,-0.5988444601001293,-0.006106101808115229,0.13176532575837926,-0.06383155792880614,-0.06456482845454213,0.002591284156645134
